CONTACT|MEMBER_BIRTH_ID|COMMENT|CONTACT_TYPE_SORTNAME
+420 736 795 080|89|Nulla eu|TEL
+420 718 257 625|21|Morbi accumsan|TEL
+420 423 488 051|98|orci.|TEL
+420 305 562 650|17|Maecenas mi|MOB
+420 510 178 088|66|blandit|TEL
+420 067 919 744|5|est.|MOB
+420 102 855 494|89|cubilia Curae;|MOB
+420 178 709 182|31|congue|MOB
+420 584 164 661|42|lorem lorem,|MOB
+420 323 731 631|64|pellentesque|MOB
+420 366 179 486|95|euismod ac,|MOB
+420 906 846 716|78|magna|MOB
+420 170 983 425|94|neque. Nullam|TEL
+420 598 256 189|60|libero|TEL
+420 054 324 601|72|augue|TEL
+420 025 762 023|34|eu tellus.|MOB
+420 960 765 168|99|vulputate mauris|MOB
+420 960 180 616|40|risus. Donec|TEL
+420 204 883 693|67|Sed|MOB
+420 198 310 838|36|sem elit,|MOB
+420 356 614 683|7|nisl|MOB
+420 690 037 742|61|vitae,|TEL
+420 857 447 927|64|augue id|TEL
+420 706 948 257|67|taciti|MOB
+420 728 957 385|82|vel,|TEL
+420 122 780 341|84|In|TEL
+420 018 198 303|80|Sed nunc|TEL
+420 741 600 154|54|aliquet|MOB
+420 739 240 529|87|orci lacus|TEL
+420 148 430 685|7|nisl. Quisque|TEL
+420 887 717 644|40|tortor. Integer|TEL
+420 539 925 375|75|et ipsum|TEL
+420 187 224 752|7|facilisis lorem|MOB
+420 259 108 013|68|id magna|TEL
+420 201 681 544|80|arcu et|TEL
+420 892 396 367|6|Sed|MOB
+420 254 494 080|7|ut,|TEL
+420 527 978 429|48|congue|MOB
+420 488 229 708|82|pede sagittis|MOB
+420 567 640 013|98|justo faucibus|MOB
+420 632 116 636|81|Nulla eu|MOB
+420 340 030 437|81|dictum. Proin|MOB
+420 810 360 579|22|Vivamus|TEL
+420 705 181 982|31|sociis natoque|MOB
+420 874 441 192|87|Quisque imperdiet,|TEL
+420 556 731 658|7|Maecenas|MOB
+420 507 778 366|44|odio.|MOB
+420 534 776 557|79|non, egestas|MOB
+420 923 580 470|1|consectetuer|MOB
+420 209 205 684|63|sodales purus,|MOB
+420 483 713 422|70|quis|TEL
+420 320 463 331|74|varius et,|MOB
+420 003 752 417|73|enim|MOB
+420 546 206 185|38|erat neque|TEL
+420 192 457 427|15|ut, sem.|TEL
+420 530 355 714|78|vel,|TEL
+420 295 783 768|5|vitae nibh.|MOB
+420 605 211 434|32|Integer eu|TEL
+420 950 564 850|63|tellus|MOB
+420 066 185 091|20|Phasellus|MOB
+420 530 777 991|91|ante|MOB
+420 217 230 736|99|Aliquam|MOB
+420 482 820 759|54|euismod|TEL
+420 676 332 431|62|sodales purus,|MOB
+420 818 594 499|31|Aenean|TEL
+420 719 387 852|96|Curabitur|TEL
+420 739 649 659|76|urna,|MOB
+420 342 511 231|73|sapien,|TEL
+420 885 216 256|19|vitae|TEL
+420 688 206 562|13|lacus, varius|TEL
+420 463 472 864|16|mauris|TEL
+420 149 636 388|70|adipiscing|MOB
+420 239 830 907|48|lorem ipsum|MOB
+420 047 037 142|95|molestie arcu.|MOB
+420 208 456 397|92|torquent per|MOB
+420 677 127 269|95|conubia nostra,|MOB
+420 678 460 701|10|odio|TEL
+420 327 365 651|68|molestie sodales.|MOB
+420 695 466 818|96|penatibus et|MOB
+420 196 061 363|8|elementum|TEL
+420 206 247 492|33|Vestibulum ante|TEL
+420 165 199 958|90|mollis vitae,|MOB
+420 224 468 455|87|magna. Nam|MOB
+420 425 030 373|90|Cum sociis|MOB
+420 215 539 862|24|in, tempus|TEL
+420 874 232 498|26|sollicitudin|TEL
+420 795 941 561|13|fames ac|TEL
+420 980 827 350|20|urna.|MOB
+420 822 162 203|28|iaculis aliquet|MOB
+420 593 638 154|37|ante dictum|MOB
+420 817 858 973|68|dictum|MOB
+420 283 097 922|96|nibh vulputate|TEL
+420 109 958 348|47|erat|MOB
+420 550 907 589|47|Proin dolor.|MOB
+420 391 192 032|20|Donec|TEL
+420 839 957 764|57|dui.|TEL
+420 664 676 082|94|eleifend. Cras|TEL
+420 788 615 099|48|primis in|MOB
